location_id,num_votes,trueskill.score,trueskill.stds.-1,study_question,trueskill_norm
50f5ed6bfdc9f065f0008d66,12,24.67606862,2.710604188,safer,5.086509407
513d6884fdc9f035870043d4,12,12.04762537,3.35903264,safer,1.569326115
51413a77fdc9f049260056fd,13,23.6091112,2.405731386,safer,4.78934809
51414819fdc9f04926006bef,13,25.2210609,2.365449247,safer,5.23829674
50f562ddfdc9f065f0005af6,13,29.72196547,2.707493177,safer,6.49185635
51414805fdc9f04926006bc0,14,25.42296861,2.387507041,safer,5.294530625
513d615bfdc9f03587003e24,12,22.9890339,2.427447263,safer,4.616648616
513cd4cafdc9f03587001edc,12,26.89493122,2.592598822,safer,5.704491079
50f42c08fdc9f065f0001732,12,30.30357631,2.913536817,safer,6.65384242
50f448b5fdc9f065f0004240,15,26.08535653,2.371514423,safer,5.479014153
50f5e5d7fdc9f065f0006aa1,12,17.68231251,2.891700127,safer,3.138658696
50f5619ffdc9f065f00055eb,17,31.40410695,2.451920865,safer,6.960354309
513cc714fdc9f035870019f1,13,31.73888902,2.75750229,safer,7.053595407
513d7a3cfdc9f0358700676b,12,27.65540606,2.691785779,safer,5.916293068
513d7a30fdc9f03587006747,20,25.30723793,2.050661172,safer,5.26229815
513e1b06fdc9f03587009369,15,18.25692784,2.690609632,safer,3.298696431
5140d5e8fdc9f049260035a2,12,20.32058113,2.730151692,safer,3.873450321
51421c53fdc9f04926008547,21,24.19254223,1.958799451,safer,4.951841111
50f560f4fdc9f065f0005367,14,33.58715105,2.676357174,safer,7.568360069
5141393cfdc9f049260053fe,16,21.56986467,2.311770825,safer,4.221391797
5185cd67fdc9f03fd5000d1e,12,24.27153424,2.644014394,safer,4.973841397
513e20f5fdc9f0358700a33e,13,33.64915037,2.801844172,safer,7.585627673
50f5e5d9fdc9f065f0006aca,15,25.45709055,2.253804149,safer,5.304034023
513d6db4fdc9f035870051c2,14,24.64963257,2.43549988,safer,5.079146627
513d6ca1fdc9f03587004ffd,15,25.39968674,2.351831523,safer,5.288046326
51409050fdc9f04926000285,24,30.2602953,2.726901056,safer,6.641788104
513f12fffdc9f0358700ca52,12,21.1423486,2.752679865,safer,4.102323093
50f5ebc7fdc9f065f000850d,16,25.71396083,2.359437217,safer,5.375575689
5140cc36fdc9f04926002d45,12,25.1727545,2.600155476,safer,5.22484279
513d2ef8fdc9f03587002602,12,35.96154398,2.681415724,safer,8.22965893
50f60876beb2fed6f8000522,13,22.83198024,2.554314865,safer,4.572907158
50f42eabfdc9f065f00022dc,13,25.39764557,2.534181084,safer,5.287477836
50f5ec36fdc9f065f00087fe,12,21.15961726,2.633938839,safer,4.107132636
51422896fdc9f0492600878f,41,23.35654456,2.097356687,safer,4.719005044
514139acfdc9f0492600550c,14,23.46738819,2.660795854,safer,4.749876415
51422810fdc9f0492600870a,14,33.35256823,2.618059148,safer,7.503025746
5141338efdc9f0492600434a,15,27.86387161,2.322726499,safer,5.974353393
51421aacfdc9f04926008385,14,18.11653395,2.571485886,safer,3.259594934
513f2993fdc9f0358700d3c3,29,25.37088568,1.737685725,safer,5.280024863
51409cf7fdc9f04926001266,12,30.69818827,3.104891495,safer,6.76374691
51414cd2fdc9f04926007418,12,25.68356268,2.725219958,safer,5.367109415
513f3090fdc9f0358700def3,12,17.62481452,2.900787929,safer,3.12264477
513d684dfdc9f03587004311,16,28.33012187,2.127585948,safer,6.104210069
51409384fdc9f049260007ad,12,28.17133073,2.811909606,safer,6.059984701
51392aba818ede12960011a2,13,28.39605817,2.598234557,safer,6.122574171
514136c7fdc9f04926004ccf,18,16.86685079,2.409198094,safer,2.911542159
50f61463beb2fed9100007b0,16,13.36032547,2.897713471,safer,1.934929916
50f5644dfdc9f065f0006245,19,27.43802485,2.038948021,safer,5.855749614
50f447d0fdc9f065f0003a5a,12,21.84687073,2.533843329,safer,4.298541535
513d9db1fdc9f03587008177,16,20.64529128,2.258913998,safer,3.96388626
50f433d5fdc9f065f0002769,17,28.77375534,2.308862351,safer,6.227767673
513cc870fdc9f03587001b36,16,17.22834365,2.346265065,safer,3.012222551
513cc59efdc9f03587001897,12,24.67619259,2.740922922,safer,5.086543934
51414bbcfdc9f04926007161,12,23.73678652,2.724023167,safer,4.824907304
51409319fdc9f04926000745,16,23.80707124,2.392886494,safer,4.8444825
513e1f0efdc9f03587009e1d,14,22.86044476,2.346592993,safer,4.580834892
513d9ac3fdc9f035870077c3,13,30.70873731,2.542940057,safer,6.766684951
50f55e99fdc9f065f0004d68,12,24.05443322,2.743604213,safer,4.91337598
513d3572fdc9f03587002adc,12,30.44219159,2.770425238,safer,6.692448554
513e1b8bfdc9f035870094d8,15,29.6636148,2.27576449,safer,6.475604938
513d6d6ffdc9f03587005152,22,19.84134004,2.257721359,safer,3.739975534
513e1f29fdc9f03587009e4b,12,24.14306977,2.575697318,safer,4.938062395
50f60c49beb2fed910000221,16,24.9982332,2.292695055,safer,5.17623637
5140b902fdc9f04926001d6c,14,26.35341316,2.448240865,safer,5.553671357
5185d1a9fdc9f03fd500111f,12,29.86540415,2.693697691,safer,6.531805858
513e20b1fdc9f0358700a288,13,24.81925037,2.541341825,safer,5.126387359
513ce469fdc9f03587002212,13,32.56256413,2.862168479,safer,7.282999481
50f5eb22fdc9f065f0008027,12,34.52349306,2.707473891,safer,7.82914332
51408bd4fdc9f0358700e9f0,17,17.75012637,2.497597153,safer,3.157545728
5141344cfdc9f049260045de,23,28.36605673,2.225525343,safer,6.114218385
51421ac2fdc9f0492600839f,19,33.20984559,2.259662009,safer,7.463275662
514217effdc9f049260080ab,13,28.06736421,2.467843163,safer,6.031028692
513d5c53fdc9f035870036cc,18,15.46745974,2.793814768,safer,2.521793815
513d6bcbfdc9f03587004de1,19,33.47076575,2.654870311,safer,7.535945271
50f433d5fdc9f065f0002768,13,32.90563068,2.617859584,safer,7.378547912
50f448b4fdc9f065f0004209,13,24.64137961,2.69446906,safer,5.076848073
5141343afdc9f0492600459a,15,31.70958751,2.562929145,safer,7.045434561
51414716fdc9f04926006990,19,34.24452586,2.427131948,safer,7.751447379
51414371fdc9f049260063de,16,29.49237524,2.434448295,safer,6.427912528
513d3218fdc9f0358700286e,16,25.72088999,2.315451384,safer,5.37750555
513da09cfdc9f035870089ea,15,27.18117331,2.258683865,safer,5.784213167
513f29e1fdc9f0358700d445,14,24.53662953,2.674513729,safer,5.047673834
513cc112fdc9f0358700143c,15,25.6317514,2.295734364,safer,5.35267931
513d6d9bfdc9f0358700519c,14,23.43566677,2.508539422,safer,4.741041593
514090e5fdc9f049260003c5,18,30.0107157,2.104603031,safer,6.572276988
